page,statement,demand_no,ministry_department,expenditure_category,category_number,row_type,actuals_2022_23_revenue,actuals_2022_23_capital,actuals_2022_23_total,BE_2023_24_revenue,BE_2023_24_capital,BE_2023_24_total,RE_2023_24_revenue,RE_2023_24_capital,RE_2023_24_total,BE_2024_25_revenue,BE_2024_25_capital,BE_2024_25_total
24,Statement 3,91,Department of Scientific and Industrial Research,Central Sector Schemes/Projects,1.0,category,25.73,1.50,27.23,36.63,8.40,45.03,24.60,12.20,36.80,31.40,0.60,32.00
24,Statement 3,91,Department of Scientific and Industrial Research,Establishment Expenditure of the Centre,2.0,category,15.28,,15.28,17.91,0.56,18.47,16.15,0.35,16.50,17.16,0.60,17.76
24,Statement 3,91,Department of Scientific and Industrial Research,Other Central Sector Expenditure,3.0,category,5809.63,,5809.63,5682.51,0.50,5683.01,6148.76,0.47,6149.23,6273.15,0.50,6273.65
24,Statement 3,92,Ministry of Skill Development and Entrepreneurship,,,ministry_total,1311.43,59.57,1371.00,3418.07,99.24,3517.31,3160.94,99.24,3260.18,4409.63,110.37,4520.00
24,Statement 3,92,Ministry of Skill Development and Entrepreneurship,Central Sector Schemes/Projects,1.0,category,,,,2278.37,,2278.37,2333.33,,2333.33,2685.64,,2685.64
24,Statement 3,92,Ministry of Skill Development and Entrepreneurship,Centrally Sponsored Schemes,2.0,category,1119.38,0.01,1119.39,894.46,,894.46,572.64,,572.64,1434.95,,1434.95
24,Statement 3,92,Ministry of Skill Development and Entrepreneurship,Establishment Expenditure of the Centre,3.0,category,208.90,59.56,268.46,222.99,99.24,322.23,240.23,99.24,339.47,265.72,110.37,376.09
24,Statement 3,92,Ministry of Skill Development and Entrepreneurship,Other Central Sector Expenditure,4.0,category,-16.85,,-16.85,22.25,,22.25,14.74,,14.74,23.32,,23.32
24,Statement 3,93,Department of Social Justice and Empowerment,,,ministry_total,7360.59,53.17,7413.76,12706.97,140.05,12847.02,9772.39,80.93,9853.32,12939.16,61.04,13000.20
24,Statement 3,93,Department of Social Justice and Empowerment,Central Sector Schemes/Projects,1.0,category,711.83,45.00,756.83,884.86,92.00,976.86,850.72,32.00,882.72,1045.89,50.00,1095.89
24,Statement 3,93,Department of Social Justice and Empowerment,Centrally Sponsored Schemes,2.0,category,6495.62,,6495.62,11603.11,,11603.11,8698.00,,8698.00,11699.98,,11699.98
24,Statement 3,93,Department of Social Justice and Empowerment,Establishment Expenditure of the Centre,3.0,category,91.15,8.17,99.32,139.00,8.05,147.05,143.67,8.93,152.60,134.79,11.01,145.80
24,Statement 3,93,Department of Social Justice and Empowerment,Other Central Sector Expenditure,4.0,category,61.99,,61.99,80.00,40.00,120.00,80.00,40.00,120.00,58.50,0.03,58.53
24,Statement 3,94,Department of Empowerment of Persons with Disabilities,,,ministry_total,985.58,,985.58,1224.09,1.06,1225.15,1223.96,1.05,1225.01,1224.07,1.20,1225.27
24,Statement 3,94,Department of Empowerment of Persons with Disabilities,Central Sector Schemes/Projects,1.0,category,564.57,,564.57,680.00,,680.00,657.00,,657.00,758.01,,758.01
24,Statement 3,94,Department of Empowerment of Persons with Disabilities,Establishment Expenditure of the Centre,2.0,category,31.63,,31.63,41.67,1.05,42.72,40.81,1.05,41.86,41.55,1.20,42.75
24,Statement 3,94,Department of Empowerment of Persons with Disabilities,Other Central Sector Expenditure,3.0,category,389.38,,389.38,502.42,0.01,502.43,526.15,,526.15,424.51,,424.51
24,Statement 3,95,Department of Space,,,ministry_total,5886.00,4253.43,10139.43,6187.10,6356.81,12543.91,6634.17,4435.90,11070.07,7475.22,5567.53,13042.75
24,Statement 3,95,Department of Space,Central Sector Schemes/Projects,1.0,category,5199.55,4244.03,9443.58,5382.05,6287.36,11669.41,5794.09,4384.81,10178.90,6597.07,5511.73,12108.80
24,Statement 3,95,Department of Space,Establishment Expenditure of the Centre,2.0,category,309.33,15.41,324.74,382.46,68.45,450.91,402.69,51.09,453.78,423.76,54.80,478.56
24,Statement 3,95,Department of Space,Other Central Sector Expenditure,3.0,category,377.12,-6.01,371.11,422.59,1.00,423.59,437.39,,437.39,454.39,1.00,455.39
25,Statement 3,96,Ministry of Statistics and Programme Implementation,,,ministry_total,3704.58,7.85,3712.43,5409.92,33.48,5443.40,3928.23,32.78,3961.01,5408.85,44.98,5453.83
25,Statement 3,96,Ministry of Statistics and Programme Implementation,Central Sector Schemes/Projects,1.0,category,2884.29,7.85,2892.14,4526.25,32.25,4558.50,3018.45,31.55,3050.00,4455.12,43.75,4498.87
25,Statement 3,96,Ministry of Statistics and Programme Implementation,Establishment Expenditure of the Centre,2.0,category,821.67,,821.67,561.38,1.23,562.61,552.23,1.23,553.46,578.14,1.23,579.37
25,Statement 3,96,Ministry of Statistics and Programme Implementation,Other Central Sector Expenditure,3.0,category,-1.38,,-1.38,322.29,,322.29,357.55,,357.55,375.59,,375.59
25,Statement 3,97,Ministry of Steel,,,ministry_total,46.04,,46.04,67.98,2.17,70.15,53.02,1.53,54.55,324.19,1.47,325.66
25,Statement 3,97,Ministry of Steel,Central Sector Schemes/Projects,1.0,category,7.74,,7.74,24.00,,24.00,13.88,,13.88,258.82,,258.82
25,Statement 3,97,Ministry of Steel,Establishment Expenditure of the Centre,2.0,category,36.96,,36.96,41.47,2.17,43.64,37.28,1.53,38.81,63.31,1.47,64.78
25,Statement 3,97,Ministry of Steel,Other Central Sector Expenditure,3.0,category,1.34,,1.34,2.51,,2.51,1.86,,1.86,2.06,,2.06
25,Statement 3,98,Ministry of Textiles,,,ministry_total,3279.06,30.09,3309.15,4362.53,26.81,4389.34,3424.53,18.56,3443.09,4373.38,43.65,4417.03
25,Statement 3,98,Ministry of Textiles,Central Sector Schemes/Projects,1.0,category,3019.50,5.85,3025.35,3602.78,1.00,3603.78,2654.87,,2654.87,3841.67,24.50,3866.17
25,Statement 3,98,Ministry of Textiles,Establishment Expenditure of the Centre,2.0,category,304.69,24.24,328.93,351.17,25.78,376.95,366.95,18.56,385.51,356.26,19.15,375.41
25,Statement 3,98,Ministry of Textiles,Other Central Sector Expenditure,3.0,category,-45.13,,-45.13,408.58,0.03,408.61,402.71,,402.71,175.45,,175.45
25,Statement 3,99,Ministry of Tourism,,,ministry_total,681.71,,681.71,2400.00,,2400.00,1692.10,,1692.10,2477.85,1.77,2479.62
25,Statement 3,99,Ministry of Tourism,Central Sector Schemes/Projects,1.0,category,571.12,,571.12,2286.22,,2286.22,1594.00,,1594.00,2374.07,,2374.07
25,Statement 3,99,Ministry of Tourism,Centrally Sponsored Schemes,2.0,category,,,,5.27,,5.27,5.27,,5.27,5.27,,5.27
25,Statement 3,99,Ministry of Tourism,Establishment Expenditure of the Centre,3.0,category,110.59,,110.59,108.51,,108.51,92.83,,92.83,98.51,1.77,100.28
25,Statement 3,100,Ministry of Tribal Affairs,,,ministry_total,7253.53,20.00,7273.53,12414.95,46.93,12461.88,7588.48,16.52,7605.00,12968.17,31.83,13000.00
25,Statement 3,100,Ministry of Tribal Affairs,Central Sector Schemes/Projects,1.0,category,2398.54,20.00,2418.54,6588.49,30.00,6618.49,3071.81,,3071.81,7066.84,30.00,7096.84
25,Statement 3,100,Ministry of Tribal Affairs,Centrally Sponsored Schemes,2.0,category,3825.01,,3825.01,4295.40,,4295.40,3285.86,,3285.86,4300.00,,4300.00
25,Statement 3,100,Ministry of Tribal Affairs,Establishment Expenditure of the Centre,3.0,category,53.48,,53.48,58.95,1.93,60.88,58.71,1.52,60.23,59.85,1.83,61.68
