page,statement,row_label,actuals_2018_19_revenue,actuals_2018_19_capital,actuals_2018_19_total,BE_2019_20_revenue,BE_2019_20_capital,BE_2019_20_total,RE_2019_20_revenue,RE_2019_20_capital,RE_2019_20_total,BE_2020_21_revenue,BE_2020_21_capital,BE_2020_21_total
13,Statement 3,2.   Establishment Expenditure of the Centre,1366.65,64.52,1431.17,1475.29,117.47,1592.76,1549.97,85.34,1635.31,1588.85,85.45,1674.3
13,Statement 3,3.   Other Central Sector Expenditure,696.05,8.81,704.86,647.87,51.0,698.87,1141.69,88.0,1229.69,4558.96,95.0,4653.96
13,Statement 3,4.   Other Grants/Loans/Transfers,46.0,,46.0,43.0,,43.0,14651.78,,14651.78,73.01,,73.01
13,Statement 3,47. Cabinet,864.66,715.89,1580.55,828.85,,828.85,925.28,,925.28,1140.38,,1140.38
13,Statement 3,1.      Establishment Expenditure of the Centre,864.66,715.89,1580.55,828.85,,828.85,925.28,,925.28,1140.38,,1140.38
13,Statement 3,48. Police,82208.59,9484.48,91693.07,87411.95,10790.28,98202.23,93454.58,9747.65,103202.23,95397.97,9846.37,105244.34
13,Statement 3,1.   Central Sector Schemes/Projects,395.43,7038.11,7433.54,522.02,6777.71,7299.73,468.75,6451.59,6920.34,1261.81,6035.64,7297.45
13,Statement 3,2.   Centrally Sponsored Schemes,4030.75,,4030.75,4287.24,,4287.24,4979.95,,4979.95,3945.62,,3945.62
13,Statement 3,3.   Establishment Expenditure of the Centre,77206.0,1468.19,78674.19,81421.24,2106.35,83527.59,86635.17,1944.32,88579.49,88696.31,2014.73,90711.04
13,Statement 3,4.   Other Central Sector Expenditure,1264.54,1056.16,2320.7,1181.45,1906.22,3087.67,1370.71,1351.74,2722.45,1494.23,1796.0,3290.23
13,Statement 3,5.   Other Grants/Loans/Transfers,-688.13,-77.98,-766.11,,,,,,,,,
