page,pdf_page,statement,demand_no,ministry_department,category_number,expenditure_category,actuals_2021_2022_revenue,actuals_2021_2022_capital,actuals_2021_2022_total,BE_2022_2023_revenue,BE_2022_2023_capital,BE_2022_2023_total,RE_2022_2023_revenue,RE_2022_2023_capital,RE_2022_2023_total,BE_2023_2024_revenue,BE_2023_2024_capital,BE_2023_2024_total
7,13,Statement 3,15,Department of Food and Public Distribution,,EXPENDITURE OF MINISTRIES AND DEPARTMENTS Total:,,,304360.79,,,215959.58,,,296303.83,,,205513.94
7,13,Statement 3,16,Ministry of Cooperation,,TOTAL / Ministry,,,,889.00,11.00,900.00,1459.74,165.00,1624.74,1149.38,1.00,1150.38
7,13,Statement 3,16,Ministry of Cooperation,1,Central Sector Schemes/Projects,,,,106.00,,106.00,719.96,,719.96,55.01,,55.01
7,13,Statement 3,16,Ministry of Cooperation,2,Centrally Sponsored Schemes,,,,624.00,,624.00,624.00,,624.00,968.25,,968.25
7,13,Statement 3,16,Ministry of Cooperation,3,Establishment Expenditure of the Centre,,,,109.00,11.00,120.00,68.00,165.00,233.00,75.00,1.00,76.00
7,13,Statement 3,16,Ministry of Cooperation,4,Other Central Sector Expenditure,,,,50.00,,50.00,47.78,,47.78,51.12,,51.12
7,13,Statement 3,16,Ministry of Cooperation,,TOTAL,,,,,,900.00,,,1624.74,,,1150.38
7,13,Statement 3,17,Ministry of Corporate Affairs,,TOTAL / Ministry,588.18,40.18,628.36,692.52,40.50,733.02,594.86,35.50,630.36,714.19,42.00,756.19
7,13,Statement 3,17,Ministry of Corporate Affairs,1,Central Sector Schemes/Projects,4.45,0.18,4.63,5.68,0.50,6.18,5.67,0.50,6.17,0.02,,0.02
7,13,Statement 3,17,Ministry of Corporate Affairs,2,Establishment Expenditure of the Centre,510.34,,510.34,582.82,,582.82,510.11,,510.11,621.32,,621.32
7,13,Statement 3,17,Ministry of Corporate Affairs,3,Other Central Sector Expenditure,73.39,40.00,113.39,104.02,40.00,144.02,79.08,35.00,114.08,92.85,42.00,134.85
7,13,Statement 3,17,Ministry of Corporate Affairs,,TOTAL,,,628.36,,,733.02,,,630.36,,,756.19
7,13,Statement 3,18,Ministry of Culture,,TOTAL / Ministry,2504.37,39.39,2543.76,2920.89,88.16,3009.05,3274.91,88.16,3363.07,3114.25,285.40,3399.65
7,13,Statement 3,18,Ministry of Culture,1,Central Sector Schemes/Projects,436.20,,436.20,531.55,1.00,532.55,836.89,,836.89,650.74,,650.74
7,13,Statement 3,18,Ministry of Culture,2,Establishment Expenditure of the Centre,1163.29,39.39,1202.68,1366.01,87.16,1453.17,1335.14,88.16,1423.30,1417.29,285.40,1702.69
7,13,Statement 3,18,Ministry of Culture,3,Other Central Sector Expenditure,904.88,,904.88,1023.33,,1023.33,1102.88,,1102.88,1046.22,,1046.22
7,13,Statement 3,18,Ministry of Culture,,TOTAL,,,2543.76,,,3009.05,,,3363.07,,,3399.65
7,13,Statement 3,19,Ministry of Defence (Civil),,TOTAL / Ministry,10535.84,6799.29,17335.13,12050.01,8049.99,20100.00,13897.34,7978.79,21876.13,13837.71,8774.79,22612.50
7,13,Statement 3,19,Ministry of Defence (Civil),1,Central Sector Schemes/Projects,877.50,3481.17,4358.67,1055.00,3500.00,4555.00,950.00,4500.00,5450.00,1005.00,5000.00,6005.00
7,13,Statement 3,19,Ministry of Defence (Civil),2,Establishment Expenditure of the Centre,10064.27,3189.19,13253.46,11135.07,4246.37,15381.44,13112.12,3300.00,16412.12,13016.27,3671.29,16687.56
7,13,Statement 3,19,Ministry of Defence (Civil),3,Other Central Sector Expenditure,-405.93,128.93,-277.00,-140.06,303.62,163.56,-164.78,178.79,14.01,-183.56,103.50,-80.06
7,13,Statement 3,19,Ministry of Defence (Civil),,TOTAL,,,17335.13,,,20100.00,,,21876.13,,,22612.50
7,13,Statement 3,20,Defence Services (Revenue),,TOTAL / Ministry,228558.93,,228558.93,233000.54,,233000.54,259500.48,,259500.48,270120.14,,270120.14
7,13,Statement 3,20,Defence Services (Revenue),1,Establishment Expenditure of the Centre,228558.93,,228558.93,233000.54,,233000.54,259500.48,,259500.48,270120.14,,270120.14
7,13,Statement 3,21,Capital Outlay on Defence Services,,TOTAL / Ministry,,137986.97,137986.97,,152369.61,152369.61,,150000.00,150000.00,,162600.00,162600.00
7,13,Statement 3,21,Capital Outlay on Defence Services,1,Central Sector Schemes/Projects,,137986.97,137986.97,,152369.61,152369.61,,150000.00,150000.00,,162600.00,162600.00
8,14,Statement 3,22,Capital Outlay on Defence Services,,Defence Pensions,116799.85,,116799.85,119696.00,,119696.00,153414.49,,153414.49,138205.00,,138205.00
8,14,Statement 3,22,Capital Outlay on Defence Services,1,Establishment Expenditure of the Centre,116799.85,,116799.85,119696.00,,119696.00,153414.49,,153414.49,138205.00,,138205.00
8,14,Statement 3,23,Ministry of Development of North Eastern Region,,TOTAL / Ministry,1987.55,665.89,2653.44,2140.04,659.96,2800.00,2017.32,737.73,2755.05,1798.75,4093.25,5892.00
8,14,Statement 3,23,Ministry of Development of North Eastern Region,1,Central Sector Schemes/Projects,1958.45,661.89,2620.34,2115.96,655.96,2771.92,1981.44,733.73,2715.17,1762.70,4088.30,5851.00
8,14,Statement 3,23,Ministry of Development of North Eastern Region,2,Establishment Expenditure of the Centre,18.09,,18.09,18.41,,18.41,30.21,,30.21,30.38,0.95,31.33
8,14,Statement 3,23,Ministry of Development of North Eastern Region,3,Other Central Sector Expenditure,11.01,4.00,15.01,5.67,4.00,9.67,5.67,4.00,9.67,5.67,4.00,9.67
8,14,Statement 3,23,Ministry of Development of North Eastern Region,,TOTAL,,,2653.44,,,2800.00,,,2755.05,,,5892.00
8,14,Statement 3,24,Ministry of Earth Sciences,,TOTAL / Ministry,2084.89,99.54,2184.43,2203.51,450.00,2653.51,1867.82,188.65,2056.47,2646.07,673.81,3319.88
8,14,Statement 3,24,Ministry of Earth Sciences,1,Central Sector Schemes/Projects,877.79,99.54,977.33,1425.24,450.00,1875.24,1136.48,188.65,1325.13,1404.77,666.23,2071.00
8,14,Statement 3,24,Ministry of Earth Sciences,2,Establishment Expenditure of the Centre,1030.27,,1030.27,579.20,,579.20,537.23,,537.23,1036.40,7.58,1043.98
8,14,Statement 3,24,Ministry of Earth Sciences,3,Other Central Sector Expenditure,176.83,,176.83,199.07,,199.07,194.11,,194.11,204.90,,204.90
8,14,Statement 3,24,Ministry of Earth Sciences,,TOTAL,,,2184.43,,,2653.51,,,2056.47,,,3319.88
8,14,Statement 3,25,Department of School Education and Literacy,,TOTAL / Ministry,46821.51,,46821.51,63449.37,,63449.37,59052.78,,59052.78,68804.30,0.55,68804.85
8,14,Statement 3,25,Department of School Education and Literacy,1,Central Sector Schemes/Projects,252.78,,252.78,358.26,,358.26,303.81,,303.81,364.01,,364.01
8,14,Statement 3,25,Department of School Education and Literacy,2,Centrally Sponsored Schemes,35607.41,,35607.41,50694.11,,50694.11,45849.67,,45849.67,54010.47,,54010.47
8,14,Statement 3,25,Department of School Education and Literacy,3,Establishment Expenditure of the Centre,30.38,,30.38,38.00,,38.00,40.00,,40.00,38.46,0.55,39.01
8,14,Statement 3,25,Department of School Education and Literacy,4,Other Central Sector Expenditure,10932.72,,10932.72,12359.00,,12359.00,12859.30,,12859.30,14391.36,,14391.36
8,14,Statement 3,25,Department of School Education and Literacy,5,Other Grants/Loans/Transfers,-1.78,,-1.78,,,,,,,,,
8,14,Statement 3,25,Department of School Education and Literacy,,TOTAL,,,46821.51,,,63449.37,,,59052.78,,,68804.85
8,14,Statement 3,26,Department of Higher Education,,TOTAL / Ministry,33518.89,12.02,33530.91,40810.34,18.01,40828.35,40810.34,18.01,40828.35,44082.10,12.52,44094.62
8,14,Statement 3,26,Department of Higher Education,1,Central Sector Schemes/Projects,3668.03,,3668.03,5412.00,0.01,5412.01,4413.01,0.01,4413.02,4968.03,,4968.03
8,14,Statement 3,26,Department of Higher Education,2,Centrally Sponsored Schemes,-233.14,,-233.14,2042.95,,2042.95,360.67,,360.67,1500.00,,1500.00
8,14,Statement 3,26,Department of Higher Education,3,Establishment Expenditure of the Centre,175.80,12.02,187.82,255.38,18.00,273.38,252.49,18.00,270.49,278.33,12.52,290.85
8,14,Statement 3,26,Department of Higher Education,4,Other Central Sector Expenditure,29898.20,,29898.20,33100.00,,33100.00,35783.07,,35783.07,37335.74,,37335.74
8,14,Statement 3,26,Department of Higher Education,5,Other Grants/Loans/Transfers,10.00,,10.00,0.01,,0.01,1.10,,1.10,,,
8,14,Statement 3,26,Department of Higher Education,,TOTAL,,,33530.91,,,40828.35,,,40828.35,,,44094.62
9,15,Statement 3,27,EXPENDITURE OF MINISTRIES AND DEPARTMENTS,,TOTAL / Ministry,7766.88,351.77,8118.65,13911.99,388.01,14300.00,11443.49,276.46,11719.95,16180.36,368.68,16549.04
9,15,Statement 3,27,Ministry of Electronics and Information Technology,1,Central Sector Schemes/Projects,4504.36,,4504.36,10676.17,0.01,10676.18,7803.50,,7803.50,12440.28,,12440.28
9,15,Statement 3,27,Ministry of Electronics and Information Technology,2,Establishment Expenditure of the Centre,1396.34,351.77,1748.11,1515.82,388.00,1903.82,1637.99,276.46,1914.45,1672.08,368.68,2040.76
9,15,Statement 3,27,Ministry of Electronics and Information Technology,3,Other Central Sector Expenditure,1866.18,,1866.18,1720.00,,1720.00,2002.00,,2002.00,2068.00,,2068.00
9,15,Statement 3,27,Ministry of Electronics and Information Technology,,TOTAL,,,8118.65,,,14300.00,,,11719.95,,,16549.04
9,15,Statement 3,28,"Ministry of Environment, Forests and Climate Change",,TOTAL / Ministry,2402.25,30.43,2432.68,2915.00,115.00,3030.00,2405.24,72.76,2478.00,2934.02,145.38,3079.40
9,15,Statement 3,28,"Ministry of Environment, Forests and Climate Change",1,Central Sector Schemes/Projects,762.45,,762.45,963.07,,963.07,820.27,,820.27,948.76,,948.76
9,15,Statement 3,28,"Ministry of Environment, Forests and Climate Change",2,Centrally Sponsored Schemes,657.47,,657.47,930.19,,930.19,549.18,,549.18,758.80,,758.80
9,15,Statement 3,28,"Ministry of Environment, Forests and Climate Change",3,Establishment Expenditure of the Centre,493.50,30.43,523.93,570.79,115.00,685.79,568.20,72.76,640.96,758.06,145.38,903.44
9,15,Statement 3,28,"Ministry of Environment, Forests and Climate Change",4,Other Central Sector Expenditure,488.83,,488.83,450.95,,450.95,467.59,,467.59,468.40,,468.40
9,15,Statement 3,28,"Ministry of Environment, Forests and Climate Change",,TOTAL,,,2432.68,,,3030.00,,,2478.00,,,3079.40
9,15,Statement 3,29,Ministry of External Affairs,,TOTAL / Ministry,13277.35,868.25,14145.60,15833.77,1416.23,17250.00,15789.10,1183.69,16972.79,16529.79,1520.21,18050.00
9,15,Statement 3,29,Ministry of External Affairs,1,Central Sector Schemes/Projects,4496.48,443.42,4939.90,6043.77,706.23,6750.00,5284.83,720.87,6005.70,5080.24,768.34,5848.58
9,15,Statement 3,29,Ministry of External Affairs,2,Establishment Expenditure of the Centre,4477.18,425.27,4902.45,5451.74,710.00,6161.74,5656.35,462.82,6119.17,6193.48,751.87,6945.35
9,15,Statement 3,29,Ministry of External Affairs,3,Other Central Sector Expenditure,4303.69,-0.44,4303.25,4338.26,,4338.26,4847.92,,4847.92,5256.07,,5256.07
9,15,Statement 3,29,Ministry of External Affairs,,TOTAL,,,14145.60,,,17250.00,,,16972.79,,,18050.00
9,15,Statement 3,30,Department of Economic Affairs,,TOTAL / Ministry,4536.95,7731.25,12268.20,6143.36,8396.90,14540.26,6803.80,4944.07,11747.87,6321.62,4559.43,10881.05
9,15,Statement 3,30,Department of Economic Affairs,1,Central Sector Schemes/Projects,1116.83,1236.93,2353.76,1703.00,5100.01,6803.01,2408.10,2018.70,4426.80,1827.00,1998.00,3825.00
9,15,Statement 3,30,Department of Economic Affairs,2,Establishment Expenditure of the Centre,189.05,,189.05,248.39,,248.39,271.98,,271.98,280.07,15.26,295.33
9,15,Statement 3,30,Department of Economic Affairs,3,Other Central Sector Expenditure,3231.07,6494.32,9725.39,4191.97,3296.89,7488.86,4123.72,2925.37,7049.09,4214.55,2546.17,6760.72
9,15,Statement 3,30,Department of Economic Affairs,,TOTAL,,,12268.20,,,14540.26,,,11747.87,,,10881.05
9,15,Statement 3,31,Department of Expenditure,,TOTAL / Ministry,370.85,,370.85,476.88,0.01,476.89,429.99,0.01,430.00,389.26,128.08,517.34
9,15,Statement 3,31,Department of Expenditure,1,Establishment Expenditure of the Centre,354.08,,354.08,458.81,0.01,458.82,415.19,0.01,415.20,374.16,128.08,502.24
