page,pdf_page,statement,ministry_department,expenditure_category,category_number,actuals_2020_2021_revenue,actuals_2020_2021_capital,actuals_2020_2021_total,BE_2021_2022_revenue,BE_2021_2022_capital,BE_2021_2022_total,RE_2021_2022_revenue,RE_2021_2022_capital,RE_2021_2022_total,BE_2022_2023_revenue,BE_2022_2023_capital,BE_2022_2023_total
9,13,Statement 3,"Ministry of Environment, Forests and Climate Change",Total Ministry/Department,,1933.83,33.09,1966.92,2747.45,122.48,2869.93,2471.49,48.51,2520.0,2915.0,115.0,3030.0
9,13,Statement 3,"Ministry of Environment, Forests and Climate Change",Central Sector Schemes/Projects,1,553.79,,553.79,993.13,,993.13,800.0,,800.0,963.07,,963.07
9,13,Statement 3,"Ministry of Environment, Forests and Climate Change",Centrally Sponsored Schemes,2,552.4,,552.4,766.0,,766.0,670.0,,670.0,930.19,,930.19
9,13,Statement 3,"Ministry of Environment, Forests and Climate Change",Establishment Expenditure of the Centre,3,418.97,33.09,452.06,511.82,122.48,634.3,514.99,48.51,563.5,570.79,115.0,685.79
9,13,Statement 3,"Ministry of Environment, Forests and Climate Change",Other Central Sector Expenditure,4,408.67,,408.67,476.5,,476.5,486.5,,486.5,450.95,,450.95
9,13,Statement 3,Ministry of External Affairs,Total Ministry/Department,,13190.18,1139.05,14329.23,16663.98,1490.75,18154.73,14919.41,1080.59,16000.0,15833.77,1416.23,17250.0
9,13,Statement 3,Ministry of External Affairs,Central Sector Schemes/Projects,1,5053.36,539.15,5592.51,6754.4,880.75,7635.15,5217.84,480.59,5698.43,6043.77,706.23,6750.0
9,13,Statement 3,Ministry of External Affairs,Establishment Expenditure of the Centre,2,4242.76,603.34,4846.1,5247.69,610.0,5857.69,5030.95,600.0,5630.95,5451.74,710.0,6161.74
9,13,Statement 3,Ministry of External Affairs,Other Central Sector Expenditure,3,3894.06,-3.44,3890.62,4661.89,,4661.89,4670.62,,4670.62,4338.26,,4338.26
9,13,Statement 3,Department of Economic Affairs,Total Ministry/Department,,5413.8,7844.73,13258.53,4520.78,56607.4,61128.18,5090.52,10525.58,15616.1,6143.36,8396.9,14540.26
